chain_id,order_id,merchant_id,customer_id,customer_name,order_amount,currency,order_date,status
CHAIN000019,ORD0019,MERCH001,CUST005,Vikram Singh,6425,INR,2026-08-19,COMPLETED
CHAIN000020,ORD0020,MERCH001,CUST002,Ishita Patel,1639,INR,2026-08-02,COMPLETED
CHAIN000021,ORD0021,MERCH001,CUST002,Ishita Patel,5241,INR,2026-08-03,COMPLETED
CHAIN000022,ORD0022,MERCH001,CUST002,Ishita Patel,2154,INR,2026-08-13,COMPLETED
CHAIN000023,ORD0023,MERCH001,CUST003,Rohan Verma,7928,INR,2026-08-21,COMPLETED
CHAIN000024,ORD0024,MERCH001,CUST003,Rohan Verma,3164,INR,2026-08-12,COMPLETED
CHAIN000025,ORD0025,MERCH001,CUST003,Rohan Verma,3932,INR,2026-08-22,COMPLETED
CHAIN000026,ORD0026,MERCH001,CUST003,Rohan Verma,1669,INR,2026-08-20,COMPLETED
CHAIN000027,ORD0027,MERCH001,CUST002,Ishita Patel,9251,INR,2026-08-24,COMPLETED
CHAIN000028,ORD0028,MERCH001,CUST002,Ishita Patel,3177,INR,2026-08-15,COMPLETED
CHAIN000029,ORD0029,MERCH001,CUST004,Ananya Joshi,4922,INR,2026-08-30,COMPLETED
CHAIN000030,ORD0030,MERCH001,CUST005,Vikram Singh,4098,INR,2026-08-22,COMPLETED
CHAIN000031,ORD0031,MERCH001,CUST003,Rohan Verma,1416,INR,2026-08-08,COMPLETED
CHAIN000032,ORD0032,MERCH001,CUST001,Aarav Sharma,5668,INR,2026-08-13,COMPLETED
CHAIN000033,ORD0033,MERCH001,CUST003,Rohan Verma,1584,INR,2026-08-07,COMPLETED
CHAIN000034,ORD0034,MERCH001,CUST005,Vikram Singh,5655,INR,2026-08-07,COMPLETED
CHAIN000035,ORD0035,MERCH001,CUST004,Ananya Joshi,6982,INR,2026-08-29,COMPLETED
CHAIN000036,ORD0036,MERCH001,CUST004,Ananya Joshi,2840,INR,2026-08-09,COMPLETED
CHAIN000037,ORD0037,MERCH001,CUST002,Ishita Patel,4540,INR,2026-08-24,COMPLETED
CHAIN000038,ORD0038,MERCH001,CUST005,Vikram Singh,9330,INR,2026-08-09,COMPLETED
CHAIN000039,ORD0039,MERCH001,CUST005,Vikram Singh,7519,INR,2026-08-29,COMPLETED
CHAIN000040,ORD0040,MERCH001,CUST005,Vikram Singh,7043,INR,2026-08-12,COMPLETED
CHAIN000041,ORD0041,MERCH001,CUST002,Ishita Patel,2766,INR,2026-08-17,COMPLETED
CHAIN000042,ORD0042,MERCH001,CUST004,Ananya Joshi,1989,INR,2026-08-25,COMPLETED
CHAIN000043,ORD0043,MERCH001,CUST001,Aarav Sharma,2296,INR,2026-08-05,COMPLETED
CHAIN000044,ORD0044,MERCH001,CUST002,Ishita Patel,7416,INR,2026-08-20,COMPLETED
CHAIN000045,ORD0045,MERCH001,CUST001,Aarav Sharma,6804,INR,2026-08-13,COMPLETED
CHAIN000046,ORD0046,MERCH001,CUST005,Vikram Singh,8168,INR,2026-08-17,COMPLETED
CHAIN000047,ORD0047,MERCH001,CUST003,Rohan Verma,9564,INR,2026-08-28,COMPLETED
CHAIN000048,ORD0048,MERCH001,CUST001,Aarav Sharma,2376,INR,2026-08-22,COMPLETED
CHAIN000049,ORD0049,MERCH001,CUST005,Vikram Singh,4871,INR,2026-08-25,COMPLETED
CHAIN000050,ORD0050,MERCH001,CUST003,Rohan Verma,2327,INR,2026-08-10,COMPLETED
CHAIN000051,ORD0051,MERCH001,CUST004,Ananya Joshi,3091,INR,2026-08-15,COMPLETED
CHAIN000052,ORD0052,MERCH001,CUST001,Aarav Sharma,4815,INR,2026-08-17,COMPLETED
CHAIN000053,ORD0053,MERCH001,CUST002,Ishita Patel,8817,INR,2026-08-30,COMPLETED
CHAIN000054,ORD0054,MERCH001,CUST001,Aarav Sharma,5389,INR,2026-08-27,COMPLETED
CHAIN000055,ORD0055,MERCH001,CUST005,Vikram Singh,3758,INR,2026-08-05,COMPLETED
CHAIN000056,ORD0056,MERCH001,CUST003,Rohan Verma,3146,INR,2026-08-18,COMPLETED
CHAIN000057,ORD0057,MERCH001,CUST005,Vikram Singh,509,INR,2026-08-20,COMPLETED
CHAIN000058,ORD0058,MERCH001,CUST003,Rohan Verma,8505,INR,2026-08-01,COMPLETED
CHAIN000059,ORD0059,MERCH001,CUST001,Aarav Sharma,6447,INR,2026-08-29,COMPLETED
CHAIN000060,ORD0060,MERCH001,CUST003,Rohan Verma,4423,INR,2026-08-02,COMPLETED
CHAIN000061,ORD0061,MERCH001,CUST002,Ishita Patel,9795,INR,2026-08-03,COMPLETED
CHAIN000062,ORD0062,MERCH001,CUST001,Aarav Sharma,8462,INR,2026-08-27,COMPLETED
CHAIN000063,ORD0063,MERCH001,CUST001,Aarav Sharma,9227,INR,2026-08-25,COMPLETED
CHAIN000064,ORD0064,MERCH001,CUST002,Ishita Patel,2603,INR,2026-08-22,COMPLETED
CHAIN000065,ORD0065,MERCH001,CUST004,Ananya Joshi,9507,INR,2026-08-06,COMPLETED
CHAIN000066,ORD0066,MERCH001,CUST003,Rohan Verma,9145,INR,2026-08-28,COMPLETED
CHAIN000067,ORD0067,MERCH001,CUST005,Vikram Singh,7432,INR,2026-08-07,COMPLETED
CHAIN000068,ORD0068,MERCH001,CUST005,Vikram Singh,3795,INR,2026-08-23,COMPLETED
CHAIN000069,ORD0069,MERCH001,CUST003,Rohan Verma,7037,INR,2026-08-22,COMPLETED
CHAIN000070,ORD0070,MERCH001,CUST003,Rohan Verma,7677,INR,2026-08-29,COMPLETED
CHAIN000071,ORD0071,MERCH001,CUST005,Vikram Singh,7897,INR,2026-08-04,COMPLETED
CHAIN000072,ORD0072,MERCH001,CUST002,Ishita Patel,4181,INR,2026-08-03,COMPLETED
CHAIN000073,ORD0073,MERCH001,CUST003,Rohan Verma,844,INR,2026-08-19,COMPLETED
CHAIN000074,ORD0074,MERCH001,CUST005,Vikram Singh,4270,INR,2026-08-19,COMPLETED
CHAIN000075,ORD0075,MERCH001,CUST002,Ishita Patel,617,INR,2026-08-03,COMPLETED
CHAIN000076,ORD0076,MERCH001,CUST001,Aarav Sharma,4250,INR,2026-08-03,COMPLETED
CHAIN000077,ORD0077,MERCH001,CUST001,Aarav Sharma,5913,INR,2026-08-03,COMPLETED
CHAIN000078,ORD0078,MERCH001,CUST005,Vikram Singh,4399,INR,2026-08-09,COMPLETED
CHAIN000079,ORD0079,MERCH001,CUST004,Ananya Joshi,4010,INR,2026-08-18,COMPLETED
CHAIN000080,ORD0080,MERCH001,CUST002,Ishita Patel,9855,INR,2026-08-19,COMPLETED
CHAIN000081,ORD0081,MERCH001,CUST004,Ananya Joshi,4481,INR,2026-08-26,COMPLETED
CHAIN000082,ORD0082,MERCH001,CUST004,Ananya Joshi,7169,INR,2026-08-07,COMPLETED
CHAIN000083,ORD0083,MERCH001,CUST001,Aarav Sharma,2088,INR,2026-08-22,COMPLETED
CHAIN000084,ORD0084,MERCH001,CUST004,Ananya Joshi,6304,INR,2026-08-14,COMPLETED
CHAIN000085,ORD0085,MERCH001,CUST004,Ananya Joshi,8151,INR,2026-08-28,COMPLETED
CHAIN000086,ORD0086,MERCH001,CUST001,Aarav Sharma,2112,INR,2026-08-02,COMPLETED
CHAIN000087,ORD0087,MERCH001,CUST004,Ananya Joshi,6059,INR,2026-08-26,COMPLETED
CHAIN000088,ORD0088,MERCH001,CUST001,Aarav Sharma,4573,INR,2026-08-07,COMPLETED
CHAIN000089,ORD0089,MERCH001,CUST002,Ishita Patel,9286,INR,2026-08-15,COMPLETED
CHAIN000090,ORD0090,MERCH001,CUST002,Ishita Patel,7412,INR,2026-08-06,COMPLETED
CHAIN000091,ORD0091,MERCH001,CUST003,Rohan Verma,8079,INR,2026-08-08,COMPLETED
CHAIN000092,ORD0092,MERCH001,CUST001,Aarav Sharma,7760,INR,2026-08-26,COMPLETED
CHAIN000093,ORD0093,MERCH001,CUST005,Vikram Singh,2104,INR,2026-08-02,COMPLETED
CHAIN000094,ORD0094,MERCH001,CUST005,Vikram Singh,741,INR,2026-08-03,COMPLETED
CHAIN000095,ORD0095,MERCH001,CUST002,Ishita Patel,3224,INR,2026-08-14,COMPLETED
CHAIN000096,ORD0096,MERCH001,CUST004,Ananya Joshi,8386,INR,2026-08-07,COMPLETED
CHAIN000097,ORD0097,MERCH001,CUST004,Ananya Joshi,1460,INR,2026-08-06,COMPLETED
CHAIN000098,ORD0098,MERCH001,CUST004,Ananya Joshi,535,INR,2026-08-13,COMPLETED
CHAIN000099,ORD0099,MERCH001,CUST003,Rohan Verma,7954,INR,2026-08-10,COMPLETED
CHAIN000100,ORD0100,MERCH001,CUST004,Ananya Joshi,9605,INR,2026-08-22,COMPLETED
